MITTAUSAIKA;Tyyppi;Taimen;TyyppiTaimen;Allastoisto;Allas;;Pituus;Paino;Condition;Sukupuoli;Sukukypsyys;Huom;N;
ALOITUS;2;1;1;1;822;;110;11,3;0,719677654;;;;100;
ALOITUS;2;1;1;1;822;;109;13,1;0,858030532;;;;100;
ALOITUS;2;1;1;1;822;;110;11,9;0,757890627;;;;100;
ALOITUS;2;1;1;1;822;;111;12,6;0,780491904;;;;100;
ALOITUS;2;1;1;1;822;;111;12,6;0,780491904;;;;100;
ALOITUS;2;1;1;1;822;;112;12,8;0,77135498;;;;100;
ALOITUS;2;1;1;1;822;;109;12,9;0,844930829;;;;100;
ALOITUS;2;1;1;1;822;;107;12,3;0,85274453;;;;100;
ALOITUS;2;1;1;1;822;;107;12,2;0,845811648;;;;100;
ALOITUS;2;1;1;1;822;;108;14,9;1,00392616;;;;100;
ALOITUS;2;1;1;1;822;;109;11,6;0,759782761;;;;100;
ALOITUS;2;1;1;1;822;;115;13;0,722365745;;;;100;
ALOITUS;2;1;1;1;822;;111;12,6;0,780491904;;;;100;
ALOITUS;2;1;1;1;822;;105;11,5;0,844811445;;;;100;
ALOITUS;2;1;1;1;822;;100;11;0,938604615;;;;100;
ALOITUS;2;1;1;1;822;;110;10,3;0,655989366;;;;100;
ALOITUS;2;1;1;1;822;;108;10,4;0,700726984;;;;100;
ALOITUS;2;1;1;1;822;;101;9,8;0,811062213;;;pyrstö rispaantunut;100;
ALOITUS;2;1;1;1;822;;118;14,2;0,729086293;;;;100;
ALOITUS;2;1;1;1;822;;96;9,7;0,938144473;;;;100;
ALOITUS;2;1;1;1;822;;112;13;0,783407401;;;;100;
ALOITUS;2;1;1;1;822;;112;12,1;0,729171504;;;;100;
ALOITUS;2;1;1;1;822;;109;11,7;0,766332612;;;;100;
ALOITUS;2;1;1;1;822;;110;12,6;0,802472428;;;;100;
ALOITUS;2;1;1;1;822;;122;18,6;0,862129282;;;;100;
ALOITUS;2;1;1;1;822;;123;17,5;0,791074441;;;;100;
ALOITUS;2;1;1;1;822;;109;11,3;0,740133207;;;;100;
ALOITUS;2;1;1;1;822;;107;11;0,762617059;;;;100;
ALOITUS;2;1;1;1;822;;102;8,9;0,714639231;;;;100;
ALOITUS;2;1;1;1;822;;117;14,5;0,764190667;;;;100;
ALOITUS;2;1;1;1;822;;106;11,2;0,799183667;;;;100;
ALOITUS;2;1;1;1;822;;113;12,3;0,721277103;;;;100;
ALOITUS;2;1;1;1;822;;104;10,6;0,801903446;;;;100;
ALOITUS;2;1;1;1;822;;107;11,9;0,825013001;;;;100;
ALOITUS;2;1;1;1;822;;108;11,1;0,7478913;;;;100;
ALOITUS;2;1;1;1;822;;104;11,4;0,862424461;;;;100;
ALOITUS;2;1;1;1;822;;107;10,9;0,755684177;;;;100;
ALOITUS;2;1;1;1;822;;102;10,5;0,843113699;;;;100;
ALOITUS;2;1;1;1;822;;107;12,4;0,859677412;;;;100;
ALOITUS;2;1;1;1;822;;103;12,1;0,942929196;;;;100;
ALOITUS;2;1;1;1;822;;109;11,4;0,746683058;;;;100;
ALOITUS;2;1;1;1;822;;114;12,5;0,713450991;;;;100;
ALOITUS;2;1;1;1;822;;105;11,3;0,830119072;;;;100;
ALOITUS;2;1;1;1;822;;105;10,3;0,756657207;;;;100;
ALOITUS;2;1;1;1;822;;110;11,3;0,719677654;;;;100;
ALOITUS;2;1;1;1;822;;110;11,1;0,706939996;;;;100;
ALOITUS;2;1;1;1;822;;110;12,3;0,783365942;;;;100;
ALOITUS;2;1;1;1;822;;111;11,4;0,706159341;;;;100;
ALOITUS;2;1;1;1;822;;110;9,1;0,579563421;;;;100;
ALOITUS;2;1;1;1;822;;109;11,5;0,75323291;;;;100;
ALOITUS;2;1;1;1;822;;109;11,6;0,759782761;;;;100;
ALOITUS;2;1;1;1;822;;111;13,2;0,817658185;;;;100;
ALOITUS;2;1;1;1;822;;104;9,7;0,733817305;;;;100;
ALOITUS;2;1;1;1;822;;107;11,8;0,818080118;;;;100;
ALOITUS;2;1;1;1;822;;107;11,1;0,769549942;;;;100;
ALOITUS;2;1;1;1;822;;107;11,3;0,783415706;;;;100;
ALOITUS;2;1;1;1;822;;110;10,6;0,675095852;;;;100;
ALOITUS;2;1;1;1;822;;120;14,5;0,70706263;;;;100;
ALOITUS;2;1;1;1;822;;103;11,7;0,911757983;;;;100;
ALOITUS;2;1;1;1;822;;110;13,3;0,84705423;;;;100;
ALOITUS;2;1;1;1;822;;105;12,5;0,918273309;;;;100;
ALOITUS;2;1;1;1;822;;115;14,3;0,794602319;;;;100;
ALOITUS;2;1;1;1;822;;110;11,9;0,757890627;;;;100;
ALOITUS;2;1;1;1;822;;109;12,9;0,844930829;;;;100;
ALOITUS;2;1;1;1;822;;115;14,3;0,794602319;;;;100;
ALOITUS;2;1;1;1;822;;121;13,2;0,627484613;;;;100;
ALOITUS;2;1;1;1;822;;110;12,5;0,7961036;;;;100;
ALOITUS;2;1;1;1;822;;105;11,5;0,844811445;;;;100;
ALOITUS;2;1;1;1;822;;109;12,4;0,812181572;;;;100;
ALOITUS;2;1;1;1;822;;113;12,3;0,721277103;;;;100;
ALOITUS;2;1;1;1;822;;106;11,5;0,820590373;;;;100;
ALOITUS;2;1;1;1;822;;102;9,9;0,794935774;;;;100;
ALOITUS;2;1;1;1;822;;105;10,3;0,756657207;;;;100;
ALOITUS;2;1;1;1;822;;107;12,3;0,85274453;;;;100;
ALOITUS;2;1;1;1;822;;104;9,6;0,726252178;;;;100;
ALOITUS;2;1;1;1;822;;110;11,8;0,751521798;;;;100;
ALOITUS;2;1;1;1;822;;109;11,6;0,759782761;;;;100;
ALOITUS;2;1;1;1;822;;105;9,7;0,712580088;;;;100;
ALOITUS;2;1;1;1;822;;115;13,6;0,755705702;;;;100;
ALOITUS;2;1;1;1;822;;102;8,8;0,706609577;;;;100;
ALOITUS;2;1;1;1;822;;110;11,7;0,745152969;;;;100;
ALOITUS;2;1;1;1;822;;119;15;0,750471897;;;;100;
ALOITUS;2;1;1;1;822;;110;11,6;0,73878414;;;;100;
ALOITUS;2;1;1;1;822;;110;10,4;0,662358195;;;;100;
ALOITUS;2;1;1;1;822;;107;10,3;0,714086883;;;;100;
ALOITUS;2;1;1;1;822;;109;10,4;0,681184544;;;;100;
ALOITUS;2;1;1;1;822;;110;11;0,700571168;;;;100;
ALOITUS;2;1;1;1;822;;111;12,3;0,761908763;;;;100;
ALOITUS;2;1;1;1;822;;105;9,2;0,675849156;;;;100;
ALOITUS;2;1;1;1;822;;110;12,6;0,802472428;;;;100;
ALOITUS;2;1;1;1;822;;107;10,6;0,73488553;;;;100;
ALOITUS;2;1;1;1;822;;107;10,4;0,721019765;;;;100;
ALOITUS;2;1;1;1;822;;112;12,2;0,735197715;;;;100;
ALOITUS;2;1;1;1;822;;108;10;0,673775946;;;;100;
ALOITUS;2;1;1;1;822;;113;13,5;0,7916456;;;;100;
ALOITUS;2;1;1;1;822;;112;11,1;0,668909397;;;;100;
ALOITUS;2;1;1;1;822;;110;11,7;0,745152969;;;;100;
