Cell,CD20,CD45,CD34,CD10,CD19
VZA00602.A03,26245.4,3802.91,1670.5,12145.9,15098
VZA00602.A05,5706.81,2642.6,1864.28,26120,9537.01
VZA00602.A07,77898.1,5878.96,23425.7,27207,19692.2
VZA00602.A11,85405.7,4629.86,12150.8,31463.3,10344.7
VZA00602.A15,21585.8,3689.55,2741.53,12028.7,8007.51
VZA00602.A21,28394.4,4335.03,1962.22,21215.9,10029.2
VZA00602.A23,73759.8,14491.4,1267.41,581.152,18251.4
VZA00602.B03,19466.2,1761.38,2297.94,11461,5077.43
VZA00602.B05,40000,2750.8,2261.18,21421.9,12796
VZA00602.B07,66804.8,3673.47,14479.4,16833.4,11544.4
VZA00602.B09,59640.5,5762.65,26088.7,36042.5,11460.5
VZA00602.B11,31559.9,5275.93,22726.3,31879.1,12068
VZA00602.B15,7281.5,1926.88,4376.27,33772.7,5092.41
VZA00602.B17,2968.52,2367.79,7574.29,18281.7,6888.02
VZA00602.B19,50019.2,4087.69,1922.44,22200.3,12465.4
VZA00602.B23,1627.8,13591.3,1901.36,460.524,1034.33
VZA00602.C01,60765.3,7308.19,1207.04,30940.1,28968.3
VZA00602.C05,74764.9,1606.21,1881.51,17770.1,13297
VZA00602.C07,88497.4,6154.7,45108.7,61263.4,18892.4
VZA00602.C11,51248.2,2713.95,11711.4,10996.3,5512.46
VZA00602.C13,13880.7,3145.93,9805.58,23364.2,4868.68
VZA00602.C15,23355.2,2866.24,4859.52,20203.8,9361.2
VZA00602.C17,52486.3,2712.29,3264.07,18192.8,5443.72
VZA00602.C19,34514.9,6783.8,1743.71,41610,18810
VZA00602.C21,164700,8941.12,0,30939.7,32091
VZA00602.D01,2544.62,2221.53,2216.13,27582.1,6142.04
VZA00602.D03,122130,3185.21,1235.14,30701.3,8799.85
VZA00602.D05,36053.4,6054.28,2127.21,22934.9,14933
VZA00602.D11,13321.2,3864.97,20620.1,24262.9,12784.3
VZA00602.D13,42012.9,3180.3,6125.38,21785.2,16703.2
VZA00602.D15,104170,2178.81,4410.35,27249.4,7798.02
VZA00602.D19,51580.9,3279.75,1172.53,35919.1,17943.1
VZA00602.E03,25472.4,5584.5,1674.79,31315.8,17783.8
VZA00602.E05,216861,7427.23,956.134,12513.6,17444.6
VZA00602.E07,14599,3124.38,22825.6,40141.1,19134.7
VZA00602.E09,42748,3912.75,17933.9,36770.8,11924.3
VZA00602.E11,64039.2,3010.72,10249.4,23318.6,9855.11
VZA00602.E13,12168.3,2308.54,2908.78,24045.9,9485.19
VZA00602.E15,81200.5,7114.65,6689.71,27531.7,28562.3
VZA00602.E19,120103,7552.47,775.143,22162,34352.3
VZA00602.E21,30550.4,2467.61,1960.43,26672,7274.53
VZA00602.F01,51758,3465,1999.42,42242.9,13068.5
VZA00602.F03,113651,5816.89,1660.24,24595.5,17923.9
VZA00602.F05,53250.4,4460.3,1526.51,38771.6,9550.69
VZA00602.F07,16936.4,4273.81,16497.7,32273.6,6390.45
VZA00602.F09,57475.8,4885.66,12912,25365.3,9793.22
VZA00602.F11,171743,1278.11,22946.2,29968,12050.1
VZA00602.F13,70850.7,3471.04,2600.91,26728.4,18007.2
VZA00602.F15,281079,3687.21,4457.47,18499.1,5038.33
VZA00602.F21,108317,3277.45,2038.59,39926.1,10070.7
VZA00602.G03,24599.4,7466.06,1896.71,44413.3,16182.1
